id,clvcuenca,cuenca,clvrha,clvrh,fechadof,fechacorte,subregion,cp,ar,uc,r,im,ex,ev,av,ab,rxy,d,idcatclasificacion,clasificacion,anio
262,"0306","Las Pocitas-San Hilario","I","RH003","2020-09-21","2020-02-04Z","",38.036,0,0.516,0,0,0,0,0,37.52,3.804,33.717,2,"Con disponibilidad",2020
269,"0307","Conejos-Los Viejos","I","RH003","2020-09-21","2020-02-04Z","",19.733,0,0.033,0,0,0,0,0,19.7,1.973,17.727,2,"Con disponibilidad",2020
276,"0308","Melitón Albañez","I","RH003","2020-09-21","2020-02-04Z","",20.95,0,0.024,0,0,0,0,0,20.926,2.095,18.831,2,"Con disponibilidad",2020
283,"0309","La Matanza","I","RH003","2020-09-21","2020-02-04Z","",6.981,0,0.743,0,0,0,0,0,6.238,0.698,5.54,2,"Con disponibilidad",2020
290,"0310","Cañada Honda","I","RH003","2020-09-21","2020-02-04Z","",0.724,0,0.003,0,0,0,0,0,0.721,0.072,0.649,2,"Con disponibilidad",2020
297,"0311","Todos Santos","I","RH003","2020-09-21","2020-02-04Z","",3.227,0,5.605,0,0,0,0,0,-2.378,0.323,-2.701,1,"Sin disponibilidad",2020
304,"0312","Pescaderos","I","RH003","2020-09-21","2020-02-04Z","",8.318,0,1.699,0,0,0,0,0,6.62,0.832,5.788,2,"Con disponibilidad",2020
311,"0313","Plutarco E. Calles","I","RH003","2020-09-21","2020-02-04Z","",11.647,0,1.989,0,0,0,0,0,9.659,1.165,8.494,2,"Con disponibilidad",2020
318,"0314","Migriño","I","RH003","2020-09-21","2020-02-04Z","",7.948,0,0.006,0,0,0,0,0,7.942,0.795,7.147,2,"Con disponibilidad",2020
326,"0315","El Carrizal","I","RH003","2020-09-21","2020-02-04Z","",4.385,0,0.004,0,0,0,0,0,4.381,0.439,3.943,2,"Con disponibilidad",2020
336,"0401","Cerrada Laguna Salada","I","RH004","2020-09-21","2020-02-04Z","",65.25,0,0.267,0,0,0,0,0,64.983,6.525,58.458,2,"Con disponibilidad",2020
338,"0402","El Borrego","I","RH004","2020-09-21","2020-02-04Z","",19.344,0,0,0,0,0,0,0,19.344,1.934,17.41,2,"Con disponibilidad",2020
347,"0403","Cerrada Santa Clara","I","RH004","2020-09-21","2020-02-04Z","",16.961,0,0.012,0,0,0,0,0,16.949,1.696,15.253,2,"Con disponibilidad",2020
357,"0404","Bahía San Felipe","I","RH004","2020-09-21","2020-02-04Z","",3.808,0,0,0,0,0,0,0,3.808,0.381,3.427,2,"Con disponibilidad",2020
358,"0405","Huatamote","I","RH004","2020-09-21","2020-02-04Z","",11.594,0,0.03,0,0,0,0,0,11.564,1.159,10.404,2,"Con disponibilidad",2020
370,"0406","San Fermín","I","RH004","2020-09-21","2020-02-04Z","",4.997,0,0,0,0,0,0,0,4.997,0.5,4.497,2,"Con disponibilidad",2020
372,"0407","Agua Dulce","I","RH004","2020-09-21","2020-02-04Z","",8.827,0,0,0,0,0,0,0,8.827,0.883,7.944,2,"Con disponibilidad",2020
382,"0408","Agua Grande","I","RH004","2020-09-21","2020-02-04Z","",9.101,0,0,0,0,0,0,0,9.101,0.91,8.191,2,"Con disponibilidad",2020
387,"0501","La Palma","I","RH005","2020-09-21","2020-02-04Z","",6.335,0,0.001,0,0,0,0,0,6.334,0.634,5.701,2,"Con disponibilidad",2020
393,"0502","Calamajue","I","RH005","2020-09-21","2020-02-04Z","",6.208,0,0,0,0,0,0,0,6.208,0.621,5.587,2,"Con disponibilidad",2020
400,"0503","Asamblea","I","RH005","2020-09-21","2020-02-04Z","",7.791,0,0.003,0,0,0,0,0,7.788,0.779,7.009,2,"Con disponibilidad",2020
413,"0504","Tepetate","I","RH005","2020-09-21","2020-02-04Z","",5.822,0,0.043,0,0,0,0,0,5.779,0.582,5.197,2,"Con disponibilidad",2020
416,"0505","San Pedro","I","RH005","2020-09-21","2020-02-04Z","",5.104,0,0.244,0,0,0,0,0,4.86,0.51,4.349,2,"Con disponibilidad",2020
424,"0506","El Alambrado","I","RH005","2020-09-21","2020-02-04Z","",5.12,0,0,0,0,0,0,0,5.12,0.512,4.608,2,"Con disponibilidad",2020
428,"0507","El Infiernito","I","RH005","2020-09-21","2020-02-04Z","",7.221,0,0,0,0,0,0,0,7.221,0.722,6.499,2,"Con disponibilidad",2020
441,"0508","Mulegé","I","RH005","2020-09-21","2020-02-04Z","",8.678,0,0.121,0,0,0,0,0,8.557,0.868,7.689,2,"Con disponibilidad",2020
448,"0509","San Marcos-Palo Verde","I","RH005","2020-09-21","2020-02-04Z","",14.87,0,0.775,0,0,0,0,0,14.095,1.487,12.608,2,"Con disponibilidad",2020
451,"0510","San Bruno","I","RH005","2020-09-21","2020-02-04Z","",1.162,0,0,0,0,0,0,0,1.162,0.116,1.046,2,"Con disponibilidad",2020
458,"0511","San Lucas","I","RH005","2020-09-21","2020-02-04Z","",1.14,0,0.003,0,0,0,0,0,1.137,0.114,1.023,2,"Con disponibilidad",2020
465,"0512","Santa Agueda","I","RH005","2020-09-21","2020-02-04Z","",4.663,0,0.635,0,0,0,0,0,4.028,0.466,3.562,2,"Con disponibilidad",2020
473,"0513","Santa Rosalía","I","RH005","2020-09-21","2020-02-04Z","",1.009,0,0,0,0,0,0,0,1.009,0.101,0.908,2,"Con disponibilidad",2020
482,"0514","Las Vírgenes","I","RH005","2020-09-21","2020-02-04Z","",16.552,0,0.03,0,0,0,0,0,16.522,1.655,14.866,2,"Con disponibilidad",2020
