CVEGEO,Municipio,Pobreza_pct,Pobreza_extrema_pct,Carencia_servicios_pct,Estado,poblacion_total,pct_rural,clasificacion_rural,monto_agua,monto_recaudado_percapita,tomas_pagadas,Clave RHA,RHA,cobertura_agua_conagua_pct,carencia_agua_conagua_pct
07051,Mapastepec,70.844767198,20.5665494177,59.5360670721,Chiapas,47801,59.68494382962699,Rural,1073437.0,23.0,4610.0,XI,Frontera Sur,87.57,12.430000000000007
07052,Las Margaritas,94.0799056301,41.0466276087,78.3212694169,Chiapas,141520,76.54324477105709,Rural,1374562.0,10.0,8980.0,XI,Frontera Sur,76.79,23.209999999999994
07053,Mazapa de Madero,82.5722028649,17.3872757775,20.0283907601,Chiapas,7936,100.0,Rural,0.0,0.0,0.0,XI,Frontera Sur,90.09,9.909999999999997
07054,Mazatán,56.2934307677,13.1405410259,75.2833677657,Chiapas,28548,57.19840269020597,Rural,128606.0,5.0,104.0,XI,Frontera Sur,87.83,12.170000000000002
07055,Metapa,59.9931236032,18.8114148186,60.2716176723,Chiapas,5879,51.35227079435278,Rural,0.0,0.0,0.0,XI,Frontera Sur,89.97,10.030000000000001
07056,Mitontic,98.3911206641,49.2665283131,96.8722205752,Chiapas,13755,100.0,Rural,0.0,0.0,0.0,XI,Frontera Sur,75.5,24.5
07057,Motozintla,71.1680399358,12.0179062147,22.3898542128,Chiapas,76769,60.21180424390054,Rural,1359545.0,18.0,4778.0,XI,Frontera Sur,92.89,7.109999999999999
07058,Nicolás Ruíz,96.6488272921,46.6,76.908315565,Chiapas,4765,0.0,Urbano,0.0,0.0,0.0,XI,Frontera Sur,99.39,0.6099999999999994
07059,Ocosingo,92.4999123168,46.3338398859,88.2272627304,Chiapas,237669,68.68081239034119,Rural,3385426.0,14.0,8255.0,XI,Frontera Sur,87.49,12.510000000000005
07060,Ocotepec,91.9847657373,46.746550733,79.843345789,Chiapas,14088,62.16638273708121,Rural,0.0,0.0,0.0,XI,Frontera Sur,95.33,4.670000000000002
07061,Ocozocoautla de Espinosa,72.5486122752,23.9452358389,54.2494573708,Chiapas,99729,51.91869967612229,Rural,2519287.0,26.0,7200.0,XI,Frontera Sur,92.79,7.209999999999994
07062,Ostuacán,58.2936057549,14.2538587008,72.1934170746,Chiapas,18657,83.16449589966233,Rural,0.0,0.0,0.0,XI,Frontera Sur,92.31,7.689999999999998
07063,Osumacinta,69.2435734284,21.0944260626,48.6637821329,Chiapas,4001,100.0,Rural,0.0,0.0,0.0,XI,Frontera Sur,99.42,0.5799999999999983
07064,Oxchuc,98.0780507644,62.4465457638,94.4909692567,Chiapas,54970,74.56612697835183,Rural,0.0,0.0,0.0,XI,Frontera Sur,29.95,70.05
07065,Palenque,69.8750784259,21.714083406,66.169443562,Chiapas,133715,61.26313427812886,Rural,7906196.0,60.0,2742.0,XI,Frontera Sur,94.41,5.590000000000003
07066,Pantelhó,97.7813656371,63.8085537335,84.9063218167,Chiapas,26495,67.43159086620118,Rural,0.0,0.0,0.0,XI,Frontera Sur,89.12,10.879999999999995
07067,Pantepec,88.7643875148,34.8784669421,85.0293156058,Chiapas,12302,100.0,Rural,0.0,0.0,0.0,XI,Frontera Sur,99.01,0.9899999999999949
07068,Pichucalco,60.9534588911,13.0215390224,58.8765061556,Chiapas,32005,52.3699421965318,Rural,1954075.0,61.0,2170.0,XI,Frontera Sur,91.76,8.239999999999995
07069,Pijijiapan,68.2615948266,17.786522065,57.9903010224,Chiapas,53692,66.06757058779706,Rural,302645.0,6.0,874.0,XI,Frontera Sur,77.49,22.510000000000005
07070,El Porvenir,94.6325755104,14.1263668534,28.089723688,Chiapas,12277,100.0,Rural,0.0,0.0,0.0,XI,Frontera Sur,93.15,6.849999999999994
07071,Villa Comaltitlán,55.4459731897,13.7029903804,75.5043802052,Chiapas,31688,74.05326937642009,Rural,0.0,0.0,0.0,XI,Frontera Sur,86.67,13.329999999999998
07072,Pueblo Nuevo Solistahuacán,92.0949542641,43.4769788592,61.5065006465,Chiapas,29703,56.889876443456885,Rural,0.0,0.0,0.0,XI,Frontera Sur,94.86,5.140000000000001
07073,Rayón,85.3201880498,30.1078190051,55.1570265257,Chiapas,10930,37.236962488563584,Urbano,0.0,0.0,0.0,XI,Frontera Sur,85.2,14.799999999999997
07074,Reforma,56.7838489217,14.6741538264,46.6084485455,Chiapas,44829,35.269579959401284,Urbano,2040454.0,46.0,6253.0,XI,Frontera Sur,96.42,3.5799999999999983
07075,Las Rosas,89.6196573854,38.1323345702,76.2036681611,Chiapas,29058,27.06311514901232,Urbano,194753.0,7.0,580.0,XI,Frontera Sur,79.44,20.560000000000002
07076,Sabanilla,93.398781461,32.8576921747,95.8695091248,Chiapas,29896,79.2948889483543,Rural,0.0,0.0,0.0,XI,Frontera Sur,87.21,12.790000000000006
07077,Salto de Agua,86.3731698651,31.2133066551,92.5153340301,Chiapas,64707,90.44771044863772,Rural,199092.0,3.0,724.0,XI,Frontera Sur,91.67,8.329999999999998
07078,San Cristóbal de las Casas,66.1151701938,24.9915442963,23.6968968126,Chiapas,215899,15.002385374642774,Urbano,73271462.0,339.0,24854.0,XI,Frontera Sur,93.35,6.650000000000006
07079,San Fernando,62.2021448183,14.4519354445,42.7718329378,Chiapas,42145,63.67303357456401,Rural,1318025.0,32.0,5457.0,XI,Frontera Sur,89.12,10.879999999999995
07080,Siltepec,91.8925956798,13.9924112986,12.7488237584,Chiapas,25949,85.95321592354233,Rural,351000.0,14.0,18.0,XI,Frontera Sur,94.6,5.400000000000006
07081,Simojovel,95.3579868564,60.8589350497,85.2523231296,Chiapas,53043,61.13907584412647,Rural,0.0,0.0,0.0,XI,Frontera Sur,92.66,7.340000000000003
07082,Sitalá,97.1730001962,69.5964418863,93.5378376611,Chiapas,15631,100.0,Rural,0.0,0.0,0.0,XI,Frontera Sur,60.23,39.77
07083,Socoltenango,73.8671492252,19.2122120391,66.3950846137,Chiapas,19255,72.76551545053232,Rural,0.0,0.0,0.0,XI,Frontera Sur,93.0,7.0
07084,Solosuchiapa,75.5361302591,22.2798906584,63.2992631329,Chiapas,8666,100.0,Rural,0.0,0.0,0.0,XI,Frontera Sur,99.11,0.8900000000000006
07085,Soyaló,90.4313835094,34.8345375326,61.0527332828,Chiapas,10904,26.6874541452678,Urbano,0.0,0.0,0.0,XI,Frontera Sur,97.33,2.6700000000000017
07086,Suchiapa,70.9350822319,23.0885694267,53.9439300619,Chiapas,25935,13.807595912859073,Urbano,152720.0,6.0,252.0,XI,Frontera Sur,92.28,7.719999999999999
07087,Suchiate,62.7460343745,15.4445031044,62.3309098216,Chiapas,42016,46.25618811881188,Urbano,1634992.0,39.0,3223.0,XI,Frontera Sur,82.49,17.510000000000005
07088,Sunuapa,66.3082311734,16.3826619965,79.2031523643,Chiapas,2323,100.0,Rural,0.0,0.0,0.0,XI,Frontera Sur,88.43,11.569999999999993
07089,Tapachula,58.4942052002,17.1002233753,34.765777658,Chiapas,354724,28.33837011310202,Urbano,159620883.0,451.0,51170.0,XI,Frontera Sur,91.13,8.870000000000005
07090,Tapalapa,78.7990029458,27.1493315205,68.3435304781,Chiapas,4555,100.0,Rural,0.0,0.0,0.0,XI,Frontera Sur,98.27,1.730000000000004
07091,Tapilula,73.1160553562,16.1437234163,57.9563421355,Chiapas,13674,38.41597191750768,Urbano,0.0,0.0,0.0,XI,Frontera Sur,97.88,2.1200000000000045
07092,Tecpatán,83.2349073077,30.7854647239,74.8692414537,Chiapas,21820,77.31439046746105,Rural,0.0,0.0,0.0,XI,Frontera Sur,94.94,5.060000000000002
07093,Tenejapa,97.0797998697,47.8146692173,82.0765624672,Chiapas,48166,82.42743844205455,Rural,0.0,0.0,0.0,XI,Frontera Sur,94.43,5.569999999999993
07094,Teopisca,91.5782277124,37.0944878162,53.7067782366,Chiapas,49613,48.32805917803801,Urbano,6000.0,0.0,29.0,XI,Frontera Sur,90.35,9.650000000000006
07096,Tila,98.0705840801,56.0302876109,96.2367649212,Chiapas,83538,66.8797433503316,Rural,0.0,0.0,0.0,XI,Frontera Sur,77.94,22.060000000000002
07097,Tonalá,60.9394180032,16.9795815538,40.7158672793,Chiapas,93762,44.15968089417888,Urbano,2460884.0,27.0,3165.0,XI,Frontera Sur,93.04,6.959999999999994
07098,Totolapa,94.1385407964,40.9809245336,76.5942634364,Chiapas,7254,36.58671078025917,Urbano,499350.0,69.0,1007.0,XI,Frontera Sur,98.13,1.8700000000000045
07099,La Trinitaria,87.7573714262,31.1073497388,68.1263865568,Chiapas,83948,71.64554247867727,Rural,0.0,0.0,0.0,XI,Frontera Sur,83.24,16.760000000000005
07100,Tumbalá,95.8327540107,48.0793582888,90.7673796791,Chiapas,38119,71.24268737375063,Rural,0.0,0.0,0.0,XI,Frontera Sur,81.11,18.89
07101,Tuxtla Gutiérrez,46.1714926717,9.7709121412,14.454566147,Chiapas,604408,1.6399518206244788,Urbano,501225086.0,830.0,84502.0,XI,Frontera Sur,93.85,6.150000000000006
07102,Tuxtla Chico,64.5817124395,19.5339850135,68.0911100149,Chiapas,41055,59.71501644135915,Rural,761846.0,19.0,743.0,XI,Frontera Sur,74.11,25.89
07103,Tuzantán,68.7714422204,21.6368480612,63.4090712162,Chiapas,30479,79.96653433511598,Rural,0.0,0.0,0.0,XI,Frontera Sur,91.17,8.829999999999998
